"DUQ400Q.Code.or.Value","DUQ400Q.Value.Description","DUQ400Q.Count","DUQ400Q.Cumulative","DUQ400Q.Skip.to.Item"
"0 to 35","Range of Values",69,69,NA
"7777","Refused",0,69,NA
"9999","Don't know",4,73,NA
".","Missing",3212,3285,NA
