"TYXP081.Code.or.Value","TYXP081.Value.Description","TYXP081.Count","TYXP081.Cumulative","TYXP081.Skip.to.Item"
"-205 to 105","Range of Values",8465,8465,NA
".","Missing",4,8469,NA
