"DXXAGRAT.Code.or.Value","DXXAGRAT.Value.Description","DXXAGRAT.Count","DXXAGRAT.Cumulative","DXXAGRAT.Skip.to.Item"
"0.4 to 1.8","Range of Values",5417,5417,NA
".","Missing",616,6033,NA
