"VTQ271A.Code.or.Value","VTQ271A.Value.Description","VTQ271A.Count","VTQ271A.Cumulative","VTQ271A.Skip.to.Item"
"1","Yes",2391,2391,""
"2","No",528,2919,"VTQ281A"
"7","Refused",0,2919,"VTQ281A"
"9","Don't know",4,2923,"VTQ281A"
".","Missing",471,3394,""
