"DS2IFDFE.Code.or.Value","DS2IFDFE.Value.Description","DS2IFDFE.Count","DS2IFDFE.Cumulative","DS2IFDFE.Skip.to.Item"
"3 to 8500","Range of Values",1750,1750,NA
".","Missing",3776,5526,NA
