"DIQ170.Code.or.Value","DIQ170.Value.Description","DIQ170.Count","DIQ170.Cumulative","DIQ170.Skip.to.Item"
"1","Yes",738,738,NA
"2","No",6056,6794,NA
"7","Refused",0,6794,NA
"9","Don't know",28,6822,NA
".","Missing",3287,10109,NA
