"DXXL1A.Code.or.Value","DXXL1A.Value.Description","DXXL1A.Count","DXXL1A.Cumulative","DXXL1A.Skip.to.Item"
"4.83 to 21.64","Range of Values",6192,6192,NA
".","Missing",1528,7720,NA
