"PFQ061R.Code.or.Value","PFQ061R.Value.Description","PFQ061R.Count","PFQ061R.Cumulative","PFQ061R.Skip.to.Item"
"1","No difficulty",1934,1934,NA
"2","Some difficulty",306,2240,NA
"3","Much difficulty",83,2323,NA
"4","Unable to do",93,2416,NA
"5","Do not do this activity",152,2568,NA
"7","Refused",0,2568,NA
"9","Don't know",0,2568,NA
".","Missing",7077,9645,NA
