"AUXROEXC.Code.or.Value","AUXROEXC.Value.Description","AUXROEXC.Count","AUXROEXC.Cumulative","AUXROEXC.Skip.to.Item"
"1","Yes (checkbox checked)",568,568,NA
"2","No (checkbox unchecked)",3801,4369,NA
".","Missing",213,4582,NA
