"LBDSUASI.Code.or.Value","LBDSUASI.Value.Description","LBDSUASI.Count","LBDSUASI.Cumulative","LBDSUASI.Skip.to.Item"
"29.7 to 1046.8","Range of Values",6433,6433,NA
".","Missing",547,6980,NA
