"DR2TP182.Code.or.Value","DR2TP182.Value.Description","DR2TP182.Count","DR2TP182.Cumulative","DR2TP182.Skip.to.Item"
"0 to 104.275","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
