"LB2LH.Code.or.Value","LB2LH.Value.Description","LB2LH.Count","LB2LH.Cumulative","LB2LH.Skip.to.Item"
"0.35 to 79.58","Range of Values",94,94,NA
".","Missing",452,546,NA
