"AUXU1K2L.Code.or.Value","AUXU1K2L.Value.Description","AUXU1K2L.Count","AUXU1K2L.Cumulative","AUXU1K2L.Skip.to.Item"
"-10 to 100","Range of Values",3853,3853,NA
"666","No response",1,3854,NA
"888","Could not obtain",13,3867,NA
".","Missing",633,4500,NA
