"WTSSMC2Y.Code.or.Value","WTSSMC2Y.Value.Description","WTSSMC2Y.Count","WTSSMC2Y.Cumulative","WTSSMC2Y.Skip.to.Item"
"1954.697978 to 173091.17897","Range of Values",4832,4832,NA
"0","No lab specimen",0,4832,NA
".","Missing",0,4832,NA
