"URXDHD.Code.or.Value","URXDHD.Value.Description","URXDHD.Count","URXDHD.Cumulative","URXDHD.Skip.to.Item"
"0.0629 to 285","Range of Values",2419,2419,NA
".","Missing",86,2505,NA
