"LB2VIASI.Code.or.Value","LB2VIASI.Value.Description","LB2VIASI.Count","LB2VIASI.Cumulative","LB2VIASI.Skip.to.Item"
"0.279 to 5.921","Range of Values",545,545,NA
".","Missing",6,551,NA
