"OPDUGA.Code.or.Value","OPDUGA.Value.Description","OPDUGA.Count","OPDUGA.Cumulative","OPDUGA.Skip.to.Item"
"0","No",2397,2397,NA
"1","Yes",19,2416,NA
".","Missing",518,2934,NA
