"LBDRFO.Code.or.Value","LBDRFO.Value.Description","LBDRFO.Count","LBDRFO.Cumulative","LBDRFO.Skip.to.Item"
"83.4 to 2970","Range of Values",8099,8099,NA
".","Missing",1066,9165,NA
