"SXQ590.Code.or.Value","SXQ590.Value.Description","SXQ590.Count","SXQ590.Cumulative","SXQ590.Skip.to.Item"
"0 to 900","Range of Values",970,970,NA
"77777","Refused",1,971,NA
"99999","Don't know",2,973,NA
".","Missing",4329,5302,NA
