"OPDSLARM.Code.or.Value","OPDSLARM.Value.Description","OPDSLARM.Count","OPDSLARM.Cumulative","OPDSLARM.Skip.to.Item"
"0","No",2322,2322,NA
"1","Yes",22,2344,NA
".","Missing",590,2934,NA
