"DRDTSODI.Code.or.Value","DRDTSODI.Value.Description","DRDTSODI.Count","DRDTSODI.Cumulative","DRDTSODI.Skip.to.Item"
"0 to 21596.12","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
