"RHQ551G.Code.or.Value","RHQ551G.Value.Description","RHQ551G.Count","RHQ551G.Cumulative","RHQ551G.Skip.to.Item"
"16","Other reasons",23,23,NA
".","Missing",3494,3517,NA
