"DR1IP183.Code.or.Value","DR1IP183.Value.Description","DR1IP183.Count","DR1IP183.Cumulative","DR1IP183.Skip.to.Item"
"0 to 9.581","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
