"DS1IPFAT.Code.or.Value","DS1IPFAT.Value.Description","DS1IPFAT.Count","DS1IPFAT.Cumulative","DS1IPFAT.Skip.to.Item"
"0.06 to 20","Range of Values",247,247,NA
".","Missing",5659,5906,NA
