"WBXP060.Code.or.Value","WBXP060.Value.Description","WBXP060.Count","WBXP060.Cumulative","WBXP060.Skip.to.Item"
"-86.4837 to 151.1652","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
