"URDMHHLC.Code.or.Value","URDMHHLC.Value.Description","URDMHHLC.Count","URDMHHLC.Cumulative","URDMHHLC.Skip.to.Item"
"0","At or above the detection limit",2483,2483,NA
"1","Below lower detection limit",6,2489,NA
".","Missing",105,2594,NA
