"TYXP003.Code.or.Value","TYXP003.Value.Description","TYXP003.Count","TYXP003.Cumulative","TYXP003.Skip.to.Item"
"159 to 199","Range of Values",5585,5585,NA
".","Missing",0,5585,NA
