"URXDAZ.Code.or.Value","URXDAZ.Value.Description","URXDAZ.Count","URXDAZ.Cumulative","URXDAZ.Skip.to.Item"
"1.13 to 36900","Range of Values",2794,2794,NA
".","Missing",107,2901,NA
