"HCQ126E.Code.or.Value","HCQ126E.Value.Description","HCQ126E.Count","HCQ126E.Cumulative","HCQ126E.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",3,3,NA
"7","Refused",0,3,NA
"9","Don't know",0,3,NA
".","Missing",84,87,NA
