"BMXCALF.Code.or.Value","BMXCALF.Value.Description","BMXCALF.Count","BMXCALF.Cumulative","BMXCALF.Skip.to.Item"
"17.5 to 70.5","Range of Values",7270,7270,NA
".","Missing",2373,9643,NA
