"URDMX4LC.Code.or.Value","URDMX4LC.Value.Description","URDMX4LC.Count","URDMX4LC.Cumulative","URDMX4LC.Skip.to.Item"
"0","At or above detection limit",2548,2548,NA
"1","Below lower detection limit",73,2621,NA
".","Missing",138,2759,NA
