"LBDSBUSI.Code.or.Value","LBDSBUSI.Value.Description","LBDSBUSI.Count","LBDSBUSI.Cumulative","LBDSBUSI.Skip.to.Item"
"1.07 to 34.27","Range of Values",6255,6255,NA
".","Missing",489,6744,NA
