"BAXPFC31.Code.or.Value","BAXPFC31.Value.Description","BAXPFC31.Count","BAXPFC31.Cumulative","BAXPFC31.Skip.to.Item"
"1","Pass",824,824,"BAXPFC41"
"2","Dnp(did not pass)",17,841,""
".","Missing",170,1011,""
