"URXOP6.Code.or.Value","URXOP6.Value.Description","URXOP6.Count","URXOP6.Cumulative","URXOP6.Skip.to.Item"
"0.0707 to 1.27","Range of Values",2804,2804,NA
".","Missing",182,2986,NA
