"DIQ120.Code.or.Value","DIQ120.Value.Description","DIQ120.Count","DIQ120.Cumulative","DIQ120.Skip.to.Item"
"1","Yes",607,607,""
"2","No",2565,3172,"DIQ140"
"7","Refused",1,3173,"DIQ140"
"9","Don't know",11,3184,"DIQ140"
".","Missing",6309,9493,""
