"DXDTRLE.Code.or.Value","DXDTRLE.Value.Description","DXDTRLE.Count","DXDTRLE.Cumulative","DXDTRLE.Skip.to.Item"
"5926.2 to 55580.7","Range of Values",4621,4621,NA
".","Missing",1071,5692,NA
