"DS1TFIBE.Code.or.Value","DS1TFIBE.Value.Description","DS1TFIBE.Count","DS1TFIBE.Cumulative","DS1TFIBE.Skip.to.Item"
"0.2 to 18","Range of Values",127,127,NA
".","Missing",9686,9813,NA
