"DS2TSUGR.Code.or.Value","DS2TSUGR.Value.Description","DS2TSUGR.Count","DS2TSUGR.Cumulative","DS2TSUGR.Skip.to.Item"
"0.02 to 36","Range of Values",577,577,NA
".","Missing",8967,9544,NA
