"DRD350J.Code.or.Value","DRD350J.Value.Description","DRD350J.Count","DRD350J.Cumulative","DRD350J.Skip.to.Item"
"1","Yes",5,5,""
"2","No",1300,1305,"DRD350K"
".","Missing",9172,10477,""
