"DRD370K.Code.or.Value","DRD370K.Value.Description","DRD370K.Count","DRD370K.Cumulative","DRD370K.Skip.to.Item"
"1","Yes",63,63,""
"2","No",1964,2027,"DRD370L"
".","Missing",8450,10477,""
