"DBD381.Code.or.Value","DBD381.Value.Description","DBD381.Count","DBD381.Cumulative","DBD381.Skip.to.Item"
"1 to 5","Range of Values",1741,1741,""
"0","None",375,2116,"DBQ400"
"7777","Refused",0,2116,"DBQ400"
"9999","Don't know",8,2124,"DBQ400"
".","Missing",7130,9254,""
