"DS2LOC.Code.or.Value","DS2LOC.Value.Description","DS2LOC.Count","DS2LOC.Cumulative","DS2LOC.Skip.to.Item"
"1","HouseHold Interview",4171,4171,NA
"2","MEC Interview",805,4976,NA
"3","Phone Interview",550,5526,NA
".","Missing",0,5526,NA
