"LBXTFR.Code.or.Value","LBXTFR.Value.Description","LBXTFR.Count","LBXTFR.Cumulative","LBXTFR.Skip.to.Item"
"1.01 to 41.3","Range of Values",6567,6567,NA
".","Missing",765,7332,NA
