"OSQ040bf.Code.or.Value","OSQ040bf.Value.Description","OSQ040bf.Count","OSQ040bf.Cumulative","OSQ040bf.Skip.to.Item"
"1","Under 50 years old, or",2,2,"OSQ025"
"2","50 years old or older?",0,2,""
"7","Refused",0,2,"OSQ025"
"9","Don't know",0,2,"OSQ025"
".","Missing",3813,3815,""
