"DS2ITFAT.Code.or.Value","DS2ITFAT.Value.Description","DS2ITFAT.Count","DS2ITFAT.Cumulative","DS2ITFAT.Skip.to.Item"
"0.03 to 36","Range of Values",627,627,NA
".","Missing",5072,5699,NA
