"DR1IM221.Code.or.Value","DR1IM221.Value.Description","DR1IM221.Count","DR1IM221.Cumulative","DR1IM221.Skip.to.Item"
"0 to 2.097","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
