"PFQ061E.Code.or.Value","PFQ061E.Value.Description","PFQ061E.Count","PFQ061E.Cumulative","PFQ061E.Skip.to.Item"
"1","No difficulty",1857,1857,NA
"2","Some difficulty",598,2455,NA
"3","Much difficulty",248,2703,NA
"4","Unable to do",162,2865,NA
"5","Do not do this activity",60,2925,NA
"7","Refused",0,2925,NA
"9","Don't know",2,2927,NA
".","Missing",5494,8421,NA
