"RHQ169.Code.or.Value","RHQ169.Value.Description","RHQ169.Count","RHQ169.Cumulative","RHQ169.Skip.to.Item"
"0 to 4","Range of Values",1179,1179,NA
"77","REFUSED",0,1179,NA
"99","DON'T KNOW",2,1181,NA
".","Missing",2416,3597,NA
