"DR1TSODI.Code.or.Value","DR1TSODI.Value.Description","DR1TSODI.Count","DR1TSODI.Cumulative","DR1TSODI.Skip.to.Item"
"0 to 15062","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
