"URXP17.Code.or.Value","URXP17.Value.Description","URXP17.Count","URXP17.Cumulative","URXP17.Skip.to.Item"
"12.9 to 65656.6","Range of Values",2608,2608,NA
".","Missing",110,2718,NA
