"LBXVTO.Code.or.Value","LBXVTO.Value.Description","LBXVTO.Count","LBXVTO.Cumulative","LBXVTO.Skip.to.Item"
"0.0177 to 16.8","Range of Values",954,954,NA
".","Missing",495,1449,NA
