"CIQP57.Code.or.Value","CIQP57.Value.Description","CIQP57.Count","CIQP57.Cumulative","CIQP57.Skip.to.Item"
"1","Yes",2,2,NA
"2","No",1,3,NA
"7","Refused",0,3,NA
"9","Don't know",0,3,NA
".","Missing",925,928,NA
