"URDMHPLC.Code.or.Value","URDMHPLC.Value.Description","URDMHPLC.Count","URDMHPLC.Cumulative","URDMHPLC.Skip.to.Item"
"0","At or above the detection limit",2128,2128,NA
"1","Below lower detection limit",620,2748,NA
"37","37",1,2749,NA
".","Missing",70,2819,NA
