"URXAMU.Code.or.Value","URXAMU.Value.Description","URXAMU.Count","URXAMU.Cumulative","URXAMU.Skip.to.Item"
"0.07 to 1730","Range of Values",2714,2714,NA
".","Missing",117,2831,NA
