"BIDCM.Code.or.Value","BIDCM.Value.Description","BIDCM.Count","BIDCM.Cumulative","BIDCM.Skip.to.Item"
"0.13 to 44.99","Range of Values",4606,4606,NA
".","Missing",1343,5949,NA
