"DRD370N.Code.or.Value","DRD370N.Value.Description","DRD370N.Count","DRD370N.Cumulative","DRD370N.Skip.to.Item"
"1","Yes",213,213,""
"2","No",4125,4338,"DRD370O"
".","Missing",4366,8704,""
