"DR2ICOPP.Code.or.Value","DR2ICOPP.Value.Description","DR2ICOPP.Count","DR2ICOPP.Cumulative","DR2ICOPP.Skip.to.Item"
"0 to 45.183","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
