"PAQ759h.Code.or.Value","PAQ759h.Value.Description","PAQ759h.Count","PAQ759h.Cumulative","PAQ759h.Skip.to.Item"
"8","HOCKEY",11,11,NA
".","Missing",9473,9484,NA
