"WTSBA13.Code.or.Value","WTSBA13.Value.Description","WTSBA13.Count","WTSBA13.Cumulative","WTSBA13.Skip.to.Item"
"0 to 350310.73558","Range of Values",946,946,NA
".","Missing",65,1011,NA
