"LBXTSH.Code.or.Value","LBXTSH.Value.Description","LBXTSH.Count","LBXTSH.Cumulative","LBXTSH.Skip.to.Item"
"0.01 to 81.85","Range of Values",2050,2050,NA
".","Missing",226,2276,NA
