"DXXRABMC.Code.or.Value","DXXRABMC.Value.Description","DXXRABMC.Count","DXXRABMC.Cumulative","DXXRABMC.Skip.to.Item"
"30.18 to 414.16","Range of Values",4973,4973,NA
".","Missing",807,5780,NA
