"LBXTHG.Code.or.Value","LBXTHG.Value.Description","LBXTHG.Count","LBXTHG.Cumulative","LBXTHG.Skip.to.Item"
"0.2 to 43.9","Range of Values",8266,8266,NA
".","Missing",1041,9307,NA
