"LBCD02.Code.or.Value","LBCD02.Value.Description","LBCD02.Count","LBCD02.Cumulative","LBCD02.Skip.to.Item"
"0.399 to 98.9","Range of Values",247,247,NA
".","Missing",17,264,NA
