"ARQ021CF.Code.or.Value","ARQ021CF.Value.Description","ARQ021CF.Count","ARQ021CF.Cumulative","ARQ021CF.Skip.to.Item"
"3","stiffness?",102,102,NA
".","Missing",5004,5106,NA
